STAT_ID,STAT_REG1,STAT_HS,STAT_REG2,STAT_REG3
CN,스테인리스 압연 및 열연강판(Stainless Steel Billet and Hot-rolled Stainless Steel Plate),"72189100,72189900,72191100,72191200,72191312,72191319,72191322,72191329,72191412,72191419,72191422,72191429,72192100,72192200,72192300,72192410,72192420,72192430,72201100,72201200",반덤핑(규제중),"한국, 인도네시아, EU, 일본, 영국"
CN,스티렌(Styrene Monomer),29025000,반덤핑(규제중),"한국, 대만, 미국"
CN,"아세톤(Acetone, Dimethyl Ketone or 2-Propanone)",29141100,반덤핑(규제중),"한국, 일본, 대만, 싱가포르"
CN,폴리아크릴로니트릴/아크릴섬유(Polyacrylonitrile Fiber or Acrylic Fiber),"550130,550330,550630",반덤핑(규제중),"한국, 일본, 튀르키예"
CN,"에틸렌프로필렌 합성 고무(EPDM, Ethylene-Propylene-non-conjugated Diene Rubber)","40027010,40027090",반덤핑(규제중),"EU, 한국, 미국, 영국"
CN,폴리실리콘(Polysilicon),28046190,반덤핑(규제중),"한국, 미국"
CN,페놀(Phenol),29071110,반덤핑(규제중),"한국, EU, 영국, 태국, 미국, 일본"
CN,"폴리아세탈 수지(Polyformaldehyde Copolymer,Polyoxym ethylene Copolymer,Copolymer-type Acetal Resin or Acetal Copolymer)","39071010,39071090",반덤핑(규제중),"한국, 말레이시아,
태국"
CN,"폴리페닐렌 설파이드(Polyphenylene Sulfide, PPS)",39119000,반덤핑(규제중),"일본, 한국, 미국, 말레이시아"
JP,수산화칼륨 (Potassium Hydroxide),281520,반덤핑(규제중),"중국, 한국"
JP,아연도금철선(Hot-dip galvanized iron wire),721720,반덤핑(규제중),"중국, 한국"
JP,탄산칼륨(Dipotassium carbonate),283640,반덤핑(규제중),한국
DE,감열지(특정 경량지)(Thermal paper (certain lightweight)),"4809900010,4811900010,4816900010,4823908520",반덤핑(규제중),한국
DE,감열지(특정 중량지)(Thermal paper (certain heavyweight)),"4809900020,4811590020,4811900020",반덤핑(규제중),한국
DE,고흡수성 수지(Super absorbent polymers),3906909017,반덤핑(규제중),한국
DE,실리콘 메탈(Silicon metal),28046900,반덤핑(규제중),"중국(한국, 대만)"
DE, 전기강판(Grain-oriented flat-rolled products of electrical steel (GOES)),"7225110011,7225110015,7225110019,7226110012,7226110014,7226110016,7226110092,7226110094,7226110096",반덤핑(규제중),"일본, 중국, 한국, 러시아, 미국 "
DE,철강 로프 및 케이블(Steel Ropes and Cables),"7312108113,7312108119,7312108313,7312108319,7312108513,7312108519,7312108913,7312108919,7312109813,7312109819",반덤핑(규제중),"한국, 중국, 모로코"
DE,철강제품(Steel Products),"72,73",세이프가드(규제중),전세계
DE,철강제 관연결구류(Tube and pipe fittings of iron or steel),"7307931191,7307931193,7307931194,7307931195,7307931199,7307931991,7307931993,7307931994,7307931995,7307931999,7307998092,7307998093,7307998094,7307998095,7307998098",반덤핑(규제중),"한국, 러시아, 말레이시아"
GB, 비합금 및 기타 합금 열연강판(Non Alloy and Other Alloy Hot Rolled Sheets and Strips ),"72081000,72082500,72082600,72082700,72083600,72083700,72083800,72083900,72084000,72085210,72085299,72085310,72085390,72085400,72111300,72111400,72111900,72126000,72251910,72253010,72253030,72253090,72254015,72254090,72261910,72269120,72269191,72269199",세이프가드(규제중),"EU, 튀르키예, 대만, 기타국(한국 포함)"
GB,	비합금 및 기타 합금 냉연강판(Non Alloy and Other Alloy Cold Rolled Sheets),"72091500,72091690,72091790,72091891,72092500,72092690,72092790,72092890,72099020,72099080,72112320,72112330,72112380,72112900,72119020,72119080,72255020,72255080,72262000,72269200",세이프가드(규제중),"EU, 한국, 인도, 베트남, 기타국"
GB,가스관(Gas pipes),"73063041,73063049,73063072,73063077",세이프가드(규제중)," EU, 튀르키예, 인도, UAE, 기타국(한국 포함)"
GB,금속코팅판(Metallic Coated Sheets),"72102000,72104100,72104900,72106100,7210690020,7210690080,72109080,72122000,72123000,72125020,72125030,72125040,72125061,72125069,72125090,72259100,72259200,72259900,72269910,72269930,72269970",세이프가드(규제중),"EU, 대만, 인도, 튀르키예, 기타국(한국 포함)"
GB,기타 용접관(Other Welded Tube),"73061100,73061900,73063012,73063018,73062100,73062900,73065021,73065029,73063080,73064020,73064080,73065080,73066910,73066990,73069000",세이프가드(규제중),"EU, UAE, 튀르키예, 중국, 기타국(한국 포함)"
GB,대형 용접관(Large welded tubes(25A)),"73051100,73051200",세이프가드(규제중),"일본, EU, 한국, 기타국"
GB,대형 용접관(Large welded tubes(25B)),"73051900,73052000,73053100,73053900,73059000",세이프가드(규제중),"EU, 한국, 일본, 기타국"
GB,비합금 및 기타 합금 Quarto 플레이트(Non Alloy and Other Alloy Quarto Plates),"72085120,72085191,72085198,72085291,72089020,72089080,72109030,72254012,72254040,72254060",세이프가드(규제중),"EU, 기타국(한국 포함)"
GB,비합금 머천트바 및 경량 섹션(Non-alloy Merchant Bars and Light Sections),"72143000,72149110,72149190,72149931,72149939,72149950,72149971,72149979,72149995,72159000,72161000,72162100,72162200,72164010,72164090,72165010,72165091,72165099,72169900",세이프가드(규제중),"EU, 튀르키예, 기타국(한국 포함)"
GB,비합금 및 기타 합금 선재(Non Alloy and Other Alloy Wire Rod),"72131000,72132000,72139110,72139120,72139141,72139149,72139170,72139190,72139910,72139990,72271000,72272000,72279010,72279050,72279095",세이프가드(규제중),"EU, 기타국(한국 포함)"
GB,유기코팅판(Organic Coated Sheets),"72107080,72124080",세이프가드(규제중),"EU, 한국, 기타국"
GB,주석 제품(Tin Mill products),"72091899,72101100,72101220,72101280,72105000,72107010,72109040,72121010,72121090,72124020",세이프가드(규제중),"EU, 중국, 대만, 한국, 기타국"
GB,중공 각관(Hollow sections),"73066110,73066192,73066199",세이프가드(규제중),"튀르키예, EU, 기타국(한국 포함)"
GB,"철 또는 비합금 형강(Angles, Shapes and Sections of Iron or Non Alloy Steel)","72163110,72163190,72163211,72163219,72163291,72163299,72163310,72163390",세이프가드(규제중),"EU, 기타국(한국 포함)"
GB,철강 로프 및 케이블(Steel (wire) ropes and cables),"7312108112,7312108113,7312108119,7312108312,7312108313,7312108319,7312108512,7312108513,7312108519,7312108912,7312108913,7312108919,7312109812,7312109813,7312109819",반덤핑(규제중),"중국,한국,모로코"
GB,철근(Rebars),"72142000,72149910",세이프가드(규제중),"EU, 튀르키예, 기타국(한국 포함)"
GB,철도 재료(Railway Material),"73021022,73021028,,73021050",세이프가드(규제중),"EU, 기타국(한국 포함)"
GB,합금 머천트 바 및 경량섹션(Alloy merchant bars and light sections),"72283020,72283041,72283061,72283069,72283070,72283089,72286020,72287010",세이프가드(규제중),"EU, 기타국(한국 포함)"
AU,A4 용지(A4 Copy Paper),48025610,반덤핑(규제중),"한국, 핀란드, 러시아, 슬로바키아"
AU,아연도금강판(Zinc coated galvanised steel),"72104900,72123000,72259200,72269900",반덤핑(규제중),"중국, 한국, 대만"
AU,"알루미늄 아연 도금강판(Aluminium Zinc coated steel, ≥600mm)","72106100,72259900",반덤핑(규제중),"한국, 베트남"
AU,열연 철강구조물류(Hot Rolled Structural Steel Sections),"721631,721632,721633,721640,721650,722870",반덤핑(규제중),"한국, 일본, 대만, 태국"
AU,정밀강관(Precision pipe and tube steel),"73063000,73065000,73066100,73066900",반덤핑(규제중),"중국, 한국"
AU,철근(Steel Reinforcing Bar),"72131000,72142000,72279010,72279090,72283010,72283090,72286010",반덤핑(규제중),"한국, 스페인"
AU,구조용강관(Hollow Structural Sections),"73063000,73066100,73066900",반덤핑(규제중),"중국, 한국, 말레이시아, 대만"
CA,"구조용 강관(Hollow structural sections: HSS made of carbon and alloy steel, welded)","7306300041,7306300051,7306300061,7306300071,7306300089,7306500000,7306610039,7306610049",반덤핑(규제중),"한국, 튀르키예"
CA,냉연강판(Certain Cold-rolled steel in coils or cut lengths),"7209150000,7209160040,7209160090,7209170040,7209170090,7209180000,7209250000,7209260000,7209270000,7209280000,7209900000,7211230000,7211290000,7211900000,7225500010,7225500020,7225500030,7225500040",상계관세(규제중),"한국, 중국, 베트남"
CA,냉연강판(Certain Cold-rolled steel in coils or cut lengths),"7209150000,7209160040,7209160090,7209170040,7209170090,7209180000,7209250000,7209260000,7209270000,7209280000,7209900000,7211230000,7211290000,7211900000,7225500010,7225500020,7225500030,7225500040",반덤핑(규제중),"한국, 중국, 베트남"
CA,도금강판(Certain Corrosion-Resistant Steel Sheet),"7210300000,7210490040,7210490050,7210490060,7210490070,7210610010,7210610020,7210690010,7210690020,7212200010,7212200020,7212200030,7212200040,7212300010,7212300020,7212300030,7212300040,7212500030,7212500040,7212500050,7212500060,7225910010,7225910020,7225910030,7225910040,7225920010,7225920020,7225920030,7225920040,7226990011,7226990012,7226990013,7226990019",반덤핑(규제중),"중국, 대만, 인도, 한국"
CA,동관(Copper Tube),"7411100010,7411100020,7411100031,7411100039",반덤핑(규제중),"한국, 브라질, 중국, 그리스, 멕시코"
CA,동제관연결구류(Certain Copper Pipe Fittings),"7412100011,7412100019,7412100090,7412200011,74412200012,7412200019,7412200090",반덤핑(규제중),"한국, 중국, 미국"
CA,용접탄소강관(Carbon Steel Welded Pipe 2),"7306300042,7306300043,7306300044,7306300045,7306300046,7306300047,7306300049,7306300052,7306300053,7306300054,7306300055,7306300056,7306300057,7306300059,7306300062,7306300063,7306300064,7306300065,7306300066,7306300067,7306300069",반덤핑(규제중),"한국, 대만, 인도, 오만, 태국, 아랍에미리트"
CA,유입식 대형 변압기((Large Power Transformers),"8504230020,8504230030,8504909010,8504909082,8504909090",반덤핑(규제중),한국
CA,"유정용강관(OCTG 2, Oil Country Tubular Goods)","7304290012,7304290013,7304290014,7304290015,7304290016,7304290017,7304290019,7304290022,7304290023,7304290024,7304290025,7304290026,7304290027,7304290029,7304290032,7304290033,7304290034,7304290035,7304290036,7304290037,7304290039,7304290042,7304290043,7304290044,7304290045,7304290046,7304290047,7304290049,7304290052,7304290053,7304290054,7304290055,7304290056,7304290057,7304290059,7304290062,7304290063,7304290064,7304290065,7304290066,7304290067,7304290069,7304290072,7304290073,7304290074,7304290075,7304290076,7304290077,7304290079,7306290012,7306290013,7306290014,7306290015,7306290016,7306290017,7306290019,7306290022,7306290023,7306290024,7306290025,7306290026,7306290027,7306290029,7306290032,7306290033,7306290034,7306290035,7306290036,7306290037,7306290039,7306290042,7306290043,7306290044,7306290045,7306290046,7306290047,7306290049,7306290052,7306290053,7306290054,7306290055,7306290056,7306290057,7306290059,7306290062,7306290063,7306290064,7306290065,7306290066,7306290067,7306290069,7306290072,7306290073,7306290074,7306290075,7306290076,7306290077,7306290079",반덤핑(규제중),"대만, 인도, 인도네시아, 한국, 태국, 튀르키예, 우크라이나, 베트남"
CA,"콘크리트 철근(Concrete reinforcing bars, RB1)","7213100011,7213100012,7213100013,7213100090,7214200011,7214200012,7214200013,7214200014,7214200021,7214200022,7214200023,7214200024,7214200031,7214200032,7214200033,7214200034,7214200090,7215900020,7215900030,7227900050,7228300051,7228300052,7228300053",반덤핑(규제중),"한국, 중국, 튀르키예"
CA,탄소합금강관(Line Pipe 2_Carbon and Alloy Steel line pipe),"7304190013,7304190014,7304190015,7304190016,7304190019,7304190023,7304190024,7304190025,7304190026,7304190029,7304190061,7304190062,7304190063,7304190064,7304190069,7304190071,7304190072,7304190073,7304190074,7304190079,7305110031,7305110032,7305110033,7305110034,7305110039,7305120031,7305120032,7305120033,7305120034,7305120039,7305120041,7305120042,7305120043,7305120044,7305120049,7305190031,7305190032,7305190033,7305190034,7305190039,7306190010,7306190090",반덤핑(규제중),한국
CA,60MVA 이하 소형 변압기(Certain Small Power Transformers),"8504220020,8504230000,8504909010,8504909082,8504909090",반덤핑(규제중),"오스트리아, 대만, 한국"
CA,후판 열연강판(Certain hot-rolled carbon steel plate and high-strength low-alloy steel plate 7),"7208510011,7208510012,7208510019,7208510021,7208510022,7208510023,7208510024,7208510025,7208510031,7208510032,7208510033,7208510034,7208510035,7208510041,7208510042,7208510043,7208510044,7208510045,7208510051,7208510052,7208510053,7208510054,7208510055,7208520011,7208520012,7208520019,7208520081,7208520082,7208520083,7208520084,7208520085",반덤핑(규제중),"한국, 브라질, 덴마크, 인도네시아, 이탈리아, 일본"
IN,에틸 헥사놀 (2-Ethyl Hexanol),29051620,반덤핑(규제중),"EU, 인도네시아, 한국, 말레이시아, 사우디아라비아, 대만, 미국"
IN,인산(농업용/비료용 제외)(Phosphoric Acid of all grades and all concentrations (excluding Agriculture/Fertilizer grade)),28092010,반덤핑(규제중),한국
IN,건식 실리카 (Untreated Fumed Silica),"28112200,28112190,28391900,34049090",반덤핑(규제중),"중국, 한국"
IN,오프셋 인쇄용 디지털판 (Digital Offset Printing Plates),"844250,37013000,37040090,37050000,76061190,76069190,76069290",반덤핑(규제중),"중국, 일본, 한국, 대만, 베트남"
IN,이소프로필 알코올 (Isopropyl Alcohol),29051220,세이프가드(규제중),전세계(WTO 가입국)
IN,전기아연도금강판 (Electrogalvanized Steel),"7209,7210,7211,7212,7225,7226",반덤핑(규제중),"한국, 일본, 싱가포르"
IN,"알루미늄휠 (Cast Aluminium Alloy Wheels or Alloy Road Wheels (ARW) used in Motor Vehicles, whether or not attached with their accessories, of a size in diameters ranging from 12 inches to 24 inches)",870870,반덤핑(규제중),"중국, 한국, 태국"
IN,차아황산나트륨 (Sodium Hydrosulphite),"28311010,28321020",반덤핑(규제중),"중국, 한국"
IN,톨루엔 디이소시아네이트 (Toluene Di-Isocyanate),29291020,반덤핑(규제중),"중국, 일본, 한국"
IN,무수프탈산 (Phthalic Anhydride),29173500,반덤핑(규제중),"중국, 인도네시아, 한국, 태국"
IN,염화폴리비닐류 (Chlorinated Polyvinyl Chloride Resin (CPVC)-whether or not further processed into compound),"39041010,39041020,39041090,39042100,39042200,39049010,39049090",반덤핑(규제중),"중국, 한국"
IN,우르소데옥시콜산(Ursodeoxycholic Acid),"2915,2916,2918,2922,2924,2931,2933,2934,2939,2941,2942",반덤핑(규제중),"중국, 한국"
IN,단일 모드 광섬유(Dispersion Unshifted Single-mode Optical Fibre),90011000,반덤핑(규제중),"중국, 인도네시아, 한국"
IN,"4-tert-부틸페놀
(Para-Tertiary Butyl Phenol(PTBP))",29071940,반덤핑(조사중),"한국,싱가포르,미국"
IN,잔류 VCM이 2PPM 이상인 PVC 서스펜션 수지(PVC suspension resins with residual VCM above 2PPM),39041020,세이프가드(규제중),전세계
IN,페로몰리브덴(Ferro-Molybdenum),72027000,세이프가드(규제중),한국
IN,합금강의 끌/공구 및 유압식 브레이커(Alloy steel chisel/ tool and hydraulic rock breaker in fully assembled condition),"84314930,84314990",반덤핑(조사중),"중국, 한국"
IN,시안화나트륨(Sodium Cyanide (NaCN)),283711,반덤핑(조사중),"중국, EU, 일본, 한국"
IN,저회분 야금용 코크스(Low Ash Metallurgical Coke),"27040010,27040020,27040030,27040090",세이프가드(조사중),전세계
IN,PVC 페이스트 레진(Poly Vinyl Chloride Paste Resin), 39041010,반덤핑(조사중),"중국, 한국, 말레이시아, 노르웨이, 대만, 태국"
IN,에피클로로히드린(Epichlorohydrin),29103000,반덤핑(조사중),"한국,중국,태국"
IT,감열지(특정 경량지)(Thermal paper (certain lightweight)),"4809900010,4811900010,4816900010,4823908520",반덤핑(규제중),한국
IT,감열지(특정 중량지)(Thermal paper (certain heavyweight)),"4809900020,4811590020,4811900020",반덤핑(규제중),한국
IT,고흡수성 수지(Super absorbent polymers),3906909017,반덤핑(규제중),한국
IT,실리콘 메탈(Silicon metal),28046900,반덤핑(규제중),"중국(한국, 대만)"
IT, 전기강판(Grain-oriented flat-rolled products of electrical steel (GOES)),"7225110011,7225110015,7225110019,7226110012,7226110014,7226110016,7226110092,7226110094,7226110096",반덤핑(규제중),"일본, 중국, 한국, 러시아, 미국 "
IT,철강 로프 및 케이블(Steel Ropes and Cables),"7312108113,7312108119,7312108313,7312108319,7312108513,7312108519,7312108913,7312108919,7312109813,7312109819",반덤핑(규제중),"한국, 중국, 모로코"
IT,철강제품(Steel Products),"72,73",세이프가드(규제중),전세계
IT,철강제 관연결구류(Tube and pipe fittings of iron or steel),"7307931191,7307931193,7307931194,7307931195,7307931199,7307931991,7307931993,7307931994,7307931995,7307931999,7307998092,7307998093,7307998094,7307998095,7307998098",반덤핑(규제중),"한국, 러시아, 말레이시아"
BR,나일론사(Nylon synthetic filament yarn),"54023111,54023119,54024520",반덤핑(규제중),"한국, 중국, 대만"
BR,니트릴 고무(NBR),40025900,반덤핑(규제중),"한국, 프랑스"
BR,버스 및 트럭용 타이어(Pneumatic tires for trucks and buses),40112090,반덤핑(규제중),"한국, 일본, 러시아, 태국 "
BR,승용차용 타이어(Tire),40111000,반덤핑(규제중),"태국, 대만, 한국"
BR,압연실리콘철강(Flat-rolled product silicon steel),"72251900,72261900",반덤핑(규제중),"한국, 중국, 대만"
BR,평판압연제품(후판)(Heavy Plate Steel),"72085100,72085200",반덤핑(규제중),"남아공, 중국, 한국, 우크라이나"
